code,name
HWH,Howrah Junction
KGP,Kharagpur
CTC,Cuttack
BBS,Bhubaneswar
KUR,Khurda Road
ADI,Ahmedabad Junction
AGC,Agra Cantt
AII,Ajmer Junction
AJJ,Arakkonam
AJNI,Ajni
AK,Akola Junction
ALNI,Alniya
AN,Amalner
ANDN,Anand Nagar
ANG,Ahmadnagar
ANND,Anand Junction
ANVT,Anand Vihar Trm
APR,Anuppur Junction
ARL,UNKNOWN
ASN,Asansol Junction
ASR,Amritsar Junction
ATT,Atari
AUS,Anupshahr
AWB,Aurangabad
AWY,Aluva
AY,Ayodhya
BALU,Balugan
BAM,Brahmapur
BAU,Burhanpur
BBK,Barabanki Junction
BBMN,Bari Brahman
BBS,Bhubaneswar
BC,Bareilly City
BCQ,Barachak
BD,Badnera Junction
BDHY,Budhi
BDQ,UNKNOWN
BDSW,UNKNOWN
BDTS,Bandra Terminus
BE,Bareilly
BEAS,Beas
BH,Bharuch Junction
BHB,Badla Ghat
BHC,Bhadrakh
BHI,Baheri
BHL,Bhilwara
BHP,Bolpur S Niktn
BHRL,Bharoli
BHS,Vidisha
BIDD,UNKNOWN
BIH,Bairagarh
BINA,Bina Junction
BJR,Barrajpur
BKN,Bikaner Junction
BLS,Balasore
BLSD,Balsamand
BLU,Bilhaur
BMF,Basmat
BNSR,UNKNOWN
BNW,Bhiwani
BNY,Barhni
BNZ,Badshahnagar
BPB,Badarpur Junction
BPL,Bhopal  Junction
BPR,Bhojipura Junction
BPRD,Barpeta Road
BRC,Vadodara Junction
BRR,Barakar
BSB,Varanasi Junction
BSL,Bhusaval Junction
BSP,Bilaspur Junction
BSR,Vasai Road
BST,Basti
BTE,Bharatpur Junction
BTI,Bhatinda Junction
BUGL,UNKNOWN
BUGY,UNKNOWN
BVI,Borivali
BWC,UNKNOWN
BZA,Vijayawada Junction
CAM,UNKNOWN
CBE,Coimbatore Junction
CHE,Srikakulam Road
CHI,Chiplun
CHNR,Chhan Arorian
CKDL,Chakdayala
CKP,Chakradharpur
CNB,Kanpur Central
CNGR,Chengannur
COR,Chittaurgarh
CPA,Kanpur Anwrganj
CPH,Champa
CPJ,Kaptanganj Junction
CPR,Chhapra
CSMT,UNKNOWN
CSN,Chalisgaon Junction
CTC,Cuttack
CTKT,Choti Khatu
CUR,Churu
DAB,Dharmabad
DARA,Dara
DD,Daund Junction
DDV,Dadhdevi
DEP,UNKNOWN
DHN,Dhanbad Junction
DHT,Dhamara Ghat
DIA,Didwana
DKNT,Dakaniya Talav
DLI,Delhi
